Анализ за период с: 01.10.20 по 17.10.20;
Машина/Салон/Документ/Материал;Количество
Isuzu 183;
А21_ТЦ Красный Кит (г.Красногорск);
Рекламация Р-00266 (06.10.2020);
"213 Собран
Леденец- нет в наличии";
Рекламация Р-00380 (08.10.2020);
213 Собран;
Упаковка бумаги А4 для принтера (1 упак = 500 листов);5
Книга;50
Шоколад с логотипом 5 гр.;750
Бейдж Старший продавец;1
Плакат А3 акция (48 часов);1
Чай в упаковке;1
Кружка белая с логотипом;8
Упаковка для кружки (мал.);8
Шампанское;6
Шоколадный набор;2
Развертка фирменная;10
Леденец;1
Шарик зелёный;10
Шарик серый;10
Зажим для шарика;20
Палочка для шарика;20
%Укомплектованный заказ Комус для ФС;1
Набор декора для ФС;1
А21_ТЦ Мебель России (Свободы) (2);
Рекламация Р-00320 (07.10.2020);
Рекламация Р-00393 (08.10.2020);
213 Собран;
%Укомплектованный заказ Комус для ФС;1
Плакат А3 акция (48 часов);1
Чай в упаковке;3
Пакет фирменный (картонный);3
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;5
Развертка фирменная;10
Шоколад с логотипом 5 гр.;500
Леденец;2
Шарик зелёный;14
Шарик серый;14
Зажим для шарика;15
Палочка для шарика;15
Isuzu 341;
А21_ТЦ Шатура  (Бибирево);
Рекламация Р-00271 (07.10.2020);
"213 Собран
Леденец- нет в наличии";
Рекламация Р-00420 (08.10.2020);
Б/Лед  213 Собран;
Пакет ПВД А4 (30*40) универсальный;50
Шоколадный набор;11
Шампанское;12
Ручка шариковая с логотипом;100
Плакат в челнок А3 48 часов;2
Плакат А3 акция (48 часов);2
Чай в упаковке;2
Пакет фирменный (картонный);1
Кружка белая с логотипом;5
Упаковка для кружки (мал.);5
Шоколад с логотипом 5 гр.;250
Листовка А5 акция (48 часов);100
Шарик зелёный;20
Шарик серый;20
Зажим для шарика;20
Палочка для шарика;20
%Укомплектованный заказ Комус для ФС;1
А21_Ярославка 3;
Рекламация Р-00331 (07.10.2020);
Рекламация Р-00429 (08.10.2020);
Б/Лед  213 Собран;
%Укомплектованный заказ Комус для ФС;1
Плакат А3 акция (48 часов);2
Чай в упаковке;6
Пакет фирменный (картонный);2
Кружка белая с логотипом;15
Упаковка для кружки (мал.);15
Шампанское;6
Шоколадный набор;8
Развертка фирменная;15
Шоколад с логотипом 5 гр.;250
Шарик зелёный;20
Шарик серый;20
Зажим для шарика;40
