Анализ за период с: 01.09.20 по 11.09.20;
Машина/Салон/Документ/Материал;Количество
Isuzu 341;
А21_ТЦ Ленинская Слобода (Roomer);
Рекламация Р-00359 (07.09.2020);
Рекламация Р-00361 (07.09.2020);
"ДК 10% ""Платина""";50
Ручка шариковая с логотипом;200
Пакет ПВД А4 (30*40) универсальный;50
Леденец;5
Шоколад с логотипом 5 гр.;1000
Кружка белая с логотипом;24
Упаковка для кружки (мал.);24
"Опоясок ""ДР клиента""";10
Упаковка бумаги А4 для принтера (1 упак = 500 листов);10
Каталог АРТИС 20 полос (48 часов) ТОНКИЙ;250
Шоколадный набор;20
Образец ДСП сонома 50х50мм;60
Образец ДСП тауп 50х50мм;60
Образец ДСП дуб белый 50х50мм;60
Образец ДСП дуб 50х50мм;30
Образец ДСП графит с шагренью 50х50мм;30
Образец ДСП ясень 50х50мм;30
Образец ДСП лиственница 50х50мм;30
Образец ДСП венге 50х50мм;30
Образец ДСП американский орех 50х50мм;60
А21_ТЦ Ленинская Слобода 3 (Roomer);
Рекламация Р-00477 (09.09.2020);
"Опоясок ""ДР клиента""";20
"ДК 10% ""Платина""";50
Развертка фирменная;30
Шампанское;12
Упаковка бумаги А4 для принтера (1 упак = 500 листов);10
Каталог АРТИС 80 полос (48 часов);180
Леденец;3
Пакет ПВД А4 (30*40) универсальный;100
Isuzu 195;
А21_ТЦ Варшавка, 129;
Рекламация Р-00366 (07.09.2020);
Кружка белая с логотипом;20
Упаковка для кружки (мал.);20
Леденец;3
Шоколад с логотипом 5 гр.;500
Каталог АРТИС 20 полос (48 часов) ТОНКИЙ;250
Шоколадный набор;10
Шампанское;6
Развертка фирменная;30
Пакет ПВД А4 (30*40) универсальный;150
Ручка шариковая с логотипом;50
Блокнот Корпоративный А5;80
Упаковка бумаги А4 для принтера (1 упак = 500 листов);5
Корзина мусорная;5
Isuzu 778;
А21_ТЦ Эрмитаж Холл (г.Тула);
Рекламация Р-00395 (07.09.2020);
Образец фасада МЯТА 150х150;1
Образец фасада АНТРАЦИТ 150х150;1
Образец фасада ЦЕМЕНТ 150х150;1
Образец фасада ЭВКАЛИПТ 150х150;1
Образец фасада КРЕМ 150х150;1
Образец фасада ОРЕХ 150х150;1
Леденец;1
Шоколад с логотипом 5 гр.;250
Брелок-рулетка;100
Ручка шариковая с логотипом;100
Каталог АРТИС 20 полос (Регионы) ТОНКИЙ;250
Каталог АРТИС 80 полос (Регионы);70
Блокнот Корпоративный А5;80
А21_ТЦ Парус (г Тула);
Рекламация Р-00435 (08.09.2020);
Леденец;3
Шоколад с логотипом 5 гр.;500
Папка картонная А4 для клиентов;200
Обложка белая без логотипа;20
Обложка зелёная;20
Наемная машина 9;
А21_ТЦ FAMILY ROOM;
Рекламация Р-00402 (07.09.2020);
%Укомплектованный заказ Комус для ФС;1
А21_Румянцево-2;
Рекламация Р-00476 (09.09.2020);
"ДК 3% ""Стандарт""";50
"ДК 5% ""Серебро""";50
"ДК 10% ""Платина""";50
Шоколадный набор;6
Упаковка бумаги А4 для принтера (1 упак = 500 листов);5
Каталог АРТИС 80 полос (48 часов);180
Шоколад с логотипом 5 гр.;250
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Образец ДСП американский орех 50х50мм;30
Образец ДСП графит с шагренью 50х50мм;30
Образец ДСП тауп 50х50мм;30
Образец ДСП ясень 50х50мм;30
Папка картонная А4 для клиентов;200
Блокнот Корпоративный А5;80
Ручка шариковая с логотипом;100
Isuzu 183;
А21_ТЦ Плаза (г. Дзержинский);
Рекламация Р-00413 (07.09.2020);
%Укомплектованный заказ Комус для ФС;1
Наемная машина12;
А21_Ярославка 3;
Рекламация Р-00415 (07.09.2020);
%Укомплектованный заказ Комус для ФС;1
Isuzu 901;
Ах_ТЦ Плаза (г. Балашиха);
Рекламация Р-00416 (07.09.2020);
%Укомплектованный заказ Комус для ФС;1
А21_ТЦ РИО (г.Реутов);
Рекламация Р-00621 (09.09.2020);
%Укомплектованный заказ Комус для ФС;1
Isuzu 652;
А21_ТЦ Светофор (Люберцы);
Рекламация Р-00622 (09.09.2020);
%Укомплектованный заказ Комус для ФС;1
Isuzu 738;
А21_ТЦ Черемушки;
Рекламация Р-00624 (09.09.2020);
%Укомплектованный заказ Комус для ФС;1
Наемная машина 3;
А21_ТЦ Красный Кит (г.Красногорск);
Рекламация Р-00626 (09.09.2020);
Набор декора для ФС;1
